param1,param2,l,real,imag,type
-0.50947,0.1,1,1.192472e-02,-7.105196e-03,resonance
-0.50632,0.1,1,1.225788e-02,-7.469005e-03,resonance
-0.50316,0.1,1,1.258676e-02,-7.839393e-03,resonance
-0.5,0.1,1,1.291132e-02,-8.216293e-03,resonance
-0.49793,0.1,1,1.312160e-02,-8.466728e-03,resonance
-0.49586,0.1,1,1.333000e-02,-8.719914e-03,resonance
-0.49379,0.1,1,1.353651e-02,-8.975836e-03,resonance
-0.49172,0.1,1,1.374112e-02,-9.234478e-03,resonance
-0.48966,0.1,1,1.394380e-02,-9.495825e-03,resonance
-0.48759,0.1,1,1.414456e-02,-9.759863e-03,resonance
-0.48552,0.1,1,1.434339e-02,-1.002658e-02,resonance
-0.48345,0.1,1,1.454025e-02,-1.029596e-02,resonance
-0.48138,0.1,1,1.473516e-02,-1.056798e-02,resonance
-0.47931,0.1,1,1.492809e-02,-1.084265e-02,resonance
-0.47724,0.1,1,1.511903e-02,-1.111994e-02,resonance
-0.47517,0.1,1,1.530796e-02,-1.139985e-02,resonance
-0.4731,0.1,1,1.549488e-02,-1.168237e-02,resonance
-0.47103,0.1,1,1.567978e-02,-1.196747e-02,resonance
-0.46897,0.1,1,1.586263e-02,-1.225516e-02,resonance
-0.4669,0.1,1,1.604343e-02,-1.254542e-02,resonance
-0.46483,0.1,1,1.622216e-02,-1.283825e-02,resonance
-0.46276,0.1,1,1.639881e-02,-1.313363e-02,resonance
-0.46069,0.1,1,1.657336e-02,-1.343155e-02,resonance
-0.45862,0.1,1,1.674580e-02,-1.373202e-02,resonance
-0.45655,0.1,1,1.691612e-02,-1.403501e-02,resonance
-0.45448,0.1,1,1.708430e-02,-1.434052e-02,resonance
-0.45241,0.1,1,1.725033e-02,-1.464855e-02,resonance
-0.45034,0.1,1,1.741420e-02,-1.495908e-02,resonance
-0.44828,0.1,1,1.757588e-02,-1.527212e-02,resonance
-0.44621,0.1,1,1.773536e-02,-1.558764e-02,resonance
-0.6,0.11,1,8.621925e-03,-3.796281e-03,resonance
-0.59483,0.11,1,9.241766e-03,-4.262067e-03,resonance
-0.58966,0.11,1,9.852101e-03,-4.746580e-03,resonance
-0.58448,0.11,1,1.045281e-02,-5.249319e-03,resonance
-0.57931,0.11,1,1.104378e-02,-5.769834e-03,resonance
-0.57414,0.11,1,1.162488e-02,-6.307725e-03,resonance
-0.56897,0.11,1,1.219599e-02,-6.862632e-03,resonance
-0.56379,0.11,1,1.275698e-02,-7.434229e-03,resonance
-0.55862,0.11,1,1.330771e-02,-8.022221e-03,resonance
-0.55345,0.11,1,1.384806e-02,-8.626339e-03,resonance
-0.54828,0.11,1,1.437787e-02,-9.246339e-03,resonance
-0.5431,0.11,1,1.489701e-02,-9.881997e-03,resonance
-0.53793,0.11,1,1.540533e-02,-1.053311e-02,resonance
-0.53276,0.11,1,1.590267e-02,-1.119948e-02,resonance
-0.52759,0.11,1,1.638888e-02,-1.188095e-02,resonance
-0.52241,0.11,1,1.686380e-02,-1.257735e-02,resonance
-0.51724,0.11,1,1.732726e-02,-1.328855e-02,resonance
-0.51207,0.11,1,1.777909e-02,-1.401439e-02,resonance
-0.5069,0.11,1,1.821913e-02,-1.475477e-02,resonance
-0.50172,0.11,1,1.864718e-02,-1.550957e-02,resonance
-0.49655,0.11,1,1.906306e-02,-1.627867e-02,resonance
-0.7,0.12,1,3.594784e-03,-8.956292e-04,resonance
-0.69483,0.12,1,4.287686e-03,-1.178014e-03,resonance
-0.68966,0.12,1,4.972643e-03,-1.485720e-03,resonance
-0.68448,0.12,1,5.649576e-03,-1.817037e-03,resonance
-0.67931,0.12,1,6.318405e-03,-2.170602e-03,resonance
-0.67414,0.12,1,6.979047e-03,-2.545297e-03,resonance
-0.66897,0.12,1,7.631418e-03,-2.940186e-03,resonance
-0.66379,0.12,1,8.275430e-03,-3.354472e-03,resonance
-0.65862,0.12,1,8.910996e-03,-3.787467e-03,resonance
-0.65345,0.12,1,9.538024e-03,-4.238572e-03,resonance
-0.64828,0.12,1,1.015642e-02,-4.707258e-03,resonance
-0.6431,0.12,1,1.076609e-02,-5.193056e-03,resonance
-0.63793,0.12,1,1.136694e-02,-5.695547e-03,resonance
-0.63276,0.12,1,1.195886e-02,-6.214355e-03,resonance
-0.62759,0.12,1,1.254175e-02,-6.749139e-03,resonance
-0.62241,0.12,1,1.311551e-02,-7.299591e-03,resonance
-0.61724,0.12,1,1.368003e-02,-7.865430e-03,resonance
-0.61207,0.12,1,1.423520e-02,-8.446399e-03,resonance
-0.6069,0.12,1,1.478090e-02,-9.042264e-03,resonance
-0.60172,0.12,1,1.531702e-02,-9.652809e-03,resonance
-0.59655,0.12,1,1.584344e-02,-1.027784e-02,resonance
-0.59138,0.12,1,1.636004e-02,-1.091716e-02,resonance
-0.58621,0.12,1,1.686669e-02,-1.157062e-02,resonance
-0.58103,0.12,1,1.736327e-02,-1.223805e-02,resonance
-0.57586,0.12,1,1.784963e-02,-1.291931e-02,resonance
-0.57069,0.12,1,1.832566e-02,-1.361427e-02,resonance
-0.56552,0.12,1,1.879120e-02,-1.432280e-02,resonance
-0.56034,0.12,1,1.924612e-02,-1.504479e-02,resonance
-0.55517,0.12,1,1.969027e-02,-1.578013e-02,resonance
-0.55,0.12,1,2.012350e-02,-1.652874e-02,resonance
-0.78552,0.13,1,1.332262e-04,-5.865914e-06,resonance
-0.77828,0.13,1,1.154227e-03,-1.513803e-04,resonance
-0.77103,0.13,1,2.161457e-03,-3.926427e-04,resonance
-0.76379,0.13,1,3.154753e-03,-7.008687e-04,resonance
-0.75655,0.13,1,4.133944e-03,-1.064424e-03,resonance
-0.74931,0.13,1,5.098855e-03,-1.476476e-03,resonance
-0.74207,0.13,1,6.049304e-03,-1.932403e-03,resonance
-0.73483,0.13,1,6.985106e-03,-2.428826e-03,resonance
-0.72759,0.13,1,7.906066e-03,-2.963142e-03,resonance
-0.72034,0.13,1,8.811985e-03,-3.533276e-03,resonance
-0.7131,0.13,1,9.702658e-03,-4.137529e-03,resonance
-0.70586,0.13,1,1.057787e-02,-4.774480e-03,resonance
-0.69862,0.13,1,1.143741e-02,-5.442925e-03,resonance
-0.69138,0.13,1,1.228104e-02,-6.141827e-03,resonance
-0.68414,0.13,1,1.310853e-02,-6.870286e-03,resonance
-0.6769,0.13,1,1.391964e-02,-7.627514e-03,resonance
-0.66966,0.13,1,1.471413e-02,-8.412814e-03,resonance
-0.66241,0.13,1,1.549173e-02,-9.225569e-03,resonance
-0.65517,0.13,1,1.625218e-02,-1.006523e-02,resonance
-0.64793,0.13,1,1.699521e-02,-1.093130e-02,resonance
-0.64069,0.13,1,1.772054e-02,-1.182333e-02,resonance
-0.63345,0.13,1,1.842786e-02,-1.274094e-02,resonance
-0.62621,0.13,1,1.911689e-02,-1.368375e-02,resonance
-0.61897,0.13,1,1.978731e-02,-1.465144e-02,resonance
-0.61172,0.13,1,2.043880e-02,-1.564372e-02,resonance
-0.60448,0.13,1,2.107103e-02,-1.666032e-02,resonance
-0.59724,0.13,1,2.168365e-02,-1.770100e-02,resonance
-0.8,0.14,1,6.403989e-03,-2.025436e-03,resonance
-0.79483,0.14,1,7.075336e-03,-2.372257e-03,resonance
-0.78966,0.14,1,7.739693e-03,-2.737530e-03,resonance
-0.78448,0.14,1,8.396998e-03,-3.120512e-03,resonance
-0.77931,0.14,1,9.047189e-03,-3.520562e-03,resonance
-0.77414,0.14,1,9.690202e-03,-3.937117e-03,resonance
-0.76897,0.14,1,1.032597e-02,-4.369681e-03,resonance
-0.76379,0.14,1,1.095443e-02,-4.817812e-03,resonance
-0.75862,0.14,1,1.157551e-02,-5.281114e-03,resonance
-0.75345,0.14,1,1.218914e-02,-5.759230e-03,resonance
-0.74828,0.14,1,1.279525e-02,-6.251838e-03,resonance
-0.7431,0.14,1,1.339377e-02,-6.758641e-03,resonance
-0.73793,0.14,1,1.398462e-02,-7.279371e-03,resonance
-0.73276,0.14,1,1.456773e-02,-7.813782e-03,resonance
-0.72759,0.14,1,1.514303e-02,-8.361646e-03,resonance
-0.72241,0.14,1,1.571042e-02,-8.922753e-03,resonance
-0.71724,0.14,1,1.626983e-02,-9.496911e-03,resonance
-0.71207,0.14,1,1.682118e-02,-1.008394e-02,resonance
-0.7069,0.14,1,1.736439e-02,-1.068367e-02,resonance
-0.70172,0.14,1,1.789936e-02,-1.129595e-02,resonance
-0.69655,0.14,1,1.842602e-02,-1.192064e-02,resonance
-0.69138,0.14,1,1.894426e-02,-1.255760e-02,resonance
-0.68621,0.14,1,1.945401e-02,-1.320670e-02,resonance
-0.68103,0.14,1,1.995516e-02,-1.386783e-02,resonance
-0.67586,0.14,1,2.044762e-02,-1.454087e-02,resonance
-0.67069,0.14,1,2.093129e-02,-1.522573e-02,resonance
-0.66552,0.14,1,2.140608e-02,-1.592232e-02,resonance
-0.66034,0.14,1,2.187187e-02,-1.663053e-02,resonance
-0.65517,0.14,1,2.232858e-02,-1.735029e-02,resonance
-0.65,0.14,1,2.277608e-02,-1.808151e-02,resonance
-0.9,0.15,1,1.052740e-03,-1.224054e-04,resonance
-0.89276,0.15,1,2.064186e-03,-3.396026e-04,resonance
-0.88552,0.15,1,3.063608e-03,-6.205480e-04,resonance
-0.87828,0.15,1,4.050882e-03,-9.536256e-04,resonance
-0.87103,0.15,1,5.025877e-03,-1.332144e-03,resonance
-0.86379,0.15,1,5.988461e-03,-1.751617e-03,resonance
-0.85655,0.15,1,6.938497e-03,-2.208778e-03,resonance
-0.84931,0.15,1,7.875844e-03,-2.701119e-03,resonance
-0.84207,0.15,1,8.800358e-03,-3.226640e-03,resonance
-0.83483,0.15,1,9.711889e-03,-3.783705e-03,resonance
-0.82759,0.15,1,1.061029e-02,-4.370945e-03,resonance
-0.82034,0.15,1,1.149539e-02,-4.987197e-03,resonance
-0.8131,0.15,1,1.236704e-02,-5.631458e-03,resonance
-0.80586,0.15,1,1.322507e-02,-6.302856e-03,resonance
-0.79862,0.15,1,1.406932e-02,-7.000625e-03,resonance
-0.79138,0.15,1,1.489960e-02,-7.724084e-03,resonance
-0.78414,0.15,1,1.571573e-02,-8.472629e-03,resonance
-0.7769,0.15,1,1.651753e-02,-9.245718e-03,resonance
-0.76966,0.15,1,1.730482e-02,-1.004286e-02,resonance
-0.76241,0.15,1,1.807739e-02,-1.086362e-02,resonance
-0.75517,0.15,1,1.883504e-02,-1.170759e-02,resonance
-0.74793,0.15,1,1.957757e-02,-1.257441e-02,resonance
-0.74069,0.15,1,2.030477e-02,-1.346375e-02,resonance
-0.73345,0.15,1,2.101641e-02,-1.437531e-02,resonance
-0.72621,0.15,1,2.171227e-02,-1.530880e-02,resonance
-0.71897,0.15,1,2.239213e-02,-1.626398e-02,resonance
-0.71172,0.15,1,2.305574e-02,-1.724060e-02,resonance
-0.70448,0.15,1,2.370286e-02,-1.823847e-02,resonance
-0.69724,0.15,1,2.433324e-02,-1.925737e-02,resonance
-0.69,0.15,1,2.494661e-02,-2.029714e-02,resonance
-0.95,0.16,1,2.517241e-03,-4.441854e-04,resonance
-0.94241,0.16,1,3.560632e-03,-7.550535e-04,resonance
-0.93483,0.16,1,4.591487e-03,-1.117316e-03,resonance
-0.92724,0.16,1,5.609674e-03,-1.524970e-03,resonance
-0.91966,0.16,1,6.615056e-03,-1.973859e-03,resonance
-0.91207,0.16,1,7.607496e-03,-2.460891e-03,resonance
-0.90448,0.16,1,8.586850e-03,-2.983659e-03,resonance
-0.8969,0.16,1,9.552972e-03,-3.540225e-03,resonance
-0.88931,0.16,1,1.050571e-02,-4.128990e-03,resonance
-0.88172,0.16,1,1.144491e-02,-4.748608e-03,resonance
-0.87414,0.16,1,1.237041e-02,-5.397928e-03,resonance
-0.86655,0.16,1,1.328205e-02,-6.075958e-03,resonance
-0.85897,0.16,1,1.417966e-02,-6.781826e-03,resonance
-0.85138,0.16,1,1.506306e-02,-7.514768e-03,resonance
-0.84379,0.16,1,1.593209e-02,-8.274102e-03,resonance
-0.83621,0.16,1,1.678655e-02,-9.059221e-03,resonance
-0.82862,0.16,1,1.762627e-02,-9.869578e-03,resonance
-0.82103,0.16,1,1.845104e-02,-1.070468e-02,resonance
-0.81345,0.16,1,1.926068e-02,-1.156409e-02,resonance
-0.80586,0.16,1,2.005497e-02,-1.244739e-02,resonance
-0.79828,0.16,1,2.083372e-02,-1.335421e-02,resonance
-0.79069,0.16,1,2.159670e-02,-1.428423e-02,resonance
-0.7831,0.16,1,2.234369e-02,-1.523713e-02,resonance
-0.77552,0.16,1,2.307448e-02,-1.621262e-02,resonance
-0.76793,0.16,1,2.378882e-02,-1.721046e-02,resonance
-0.76034,0.16,1,2.448647e-02,-1.823039e-02,resonance
-0.75276,0.16,1,2.516720e-02,-1.927221e-02,resonance
-0.74517,0.16,1,2.583075e-02,-2.033572e-02,resonance
-0.73759,0.16,1,2.647686e-02,-2.142072e-02,resonance
-1.02,0.17,1,1.193105e-03,-1.387262e-04,resonance
-1.01207,0.17,1,2.301100e-03,-3.753351e-04,resonance
-1.00414,0.17,1,3.396373e-03,-6.799241e-04,resonance
-0.99621,0.17,1,4.478796e-03,-1.040274e-03,resonance
-0.98828,0.17,1,5.548238e-03,-1.449288e-03,resonance
-0.98034,0.17,1,6.604563e-03,-1.902192e-03,resonance
-0.97241,0.17,1,7.647631e-03,-2.395496e-03,resonance
-0.96448,0.17,1,8.677300e-03,-2.926518e-03,resonance
-0.95655,0.17,1,9.693421e-03,-3.493115e-03,resonance
-0.94862,0.17,1,1.069585e-02,-4.093531e-03,resonance
-0.94069,0.17,1,1.168442e-02,-4.726297e-03,resonance
-0.93276,0.17,1,1.265898e-02,-5.390162e-03,resonance
-0.92483,0.17,1,1.361936e-02,-6.084046e-03,resonance
-0.9169,0.17,1,1.456540e-02,-6.807010e-03,resonance
-0.90897,0.17,1,1.549692e-02,-7.558226e-03,resonance
-0.90103,0.17,1,1.641375e-02,-8.336962e-03,resonance
-0.8931,0.17,1,1.731571e-02,-9.142562e-03,resonance
-0.88517,0.17,1,1.820261e-02,-9.974441e-03,resonance
-0.87724,0.17,1,1.907425e-02,-1.083207e-02,resonance
-0.86931,0.17,1,1.993045e-02,-1.171497e-02,resonance
-0.86138,0.17,1,2.077099e-02,-1.262270e-02,resonance
-0.85345,0.17,1,2.159568e-02,-1.355487e-02,resonance
-0.84552,0.17,1,2.240429e-02,-1.451113e-02,resonance
-0.83759,0.17,1,2.319662e-02,-1.549112e-02,resonance
-0.82966,0.17,1,2.397243e-02,-1.649457e-02,resonance
-0.82172,0.17,1,2.473149e-02,-1.752117e-02,resonance
-0.81379,0.17,1,2.547357e-02,-1.857069e-02,resonance
-0.80586,0.17,1,2.619842e-02,-1.964288e-02,resonance
-0.79793,0.17,1,2.690580e-02,-2.073753e-02,resonance
-0.79,0.17,1,2.759544e-02,-2.185444e-02,resonance
-1.02,0.18,1,9.344548e-03,-3.183326e-03,resonance
-1.01345,0.18,1,1.018356e-02,-3.652409e-03,resonance
-1.0069,0.18,1,1.101375e-02,-4.143361e-03,resonance
-1.00034,0.18,1,1.183505e-02,-4.655420e-03,resonance
-0.99379,0.18,1,1.264736e-02,-5.187918e-03,resonance
-0.98724,0.18,1,1.345062e-02,-5.740261e-03,resonance
-0.98069,0.18,1,1.424474e-02,-6.311919e-03,resonance
-0.97414,0.18,1,1.502963e-02,-6.902417e-03,resonance
-0.96759,0.18,1,1.580521e-02,-7.511323e-03,resonance
-0.96103,0.18,1,1.657139e-02,-8.138248e-03,resonance
-0.95448,0.18,1,1.732808e-02,-8.782833e-03,resonance
-0.94793,0.18,1,1.807519e-02,-9.444754e-03,resonance
-0.94138,0.18,1,1.881263e-02,-1.012371e-02,resonance
-0.93483,0.18,1,1.954030e-02,-1.081942e-02,resonance
-0.92828,0.18,1,2.025810e-02,-1.153164e-02,resonance
-0.92172,0.18,1,2.096594e-02,-1.226012e-02,resonance
-0.91517,0.18,1,2.166371e-02,-1.300465e-02,resonance
-0.90862,0.18,1,2.235131e-02,-1.376502e-02,resonance
-0.90207,0.18,1,2.302863e-02,-1.454104e-02,resonance
-0.89552,0.18,1,2.369557e-02,-1.533254e-02,resonance
-0.88897,0.18,1,2.435201e-02,-1.613936e-02,resonance
-0.88241,0.18,1,2.499785e-02,-1.696132e-02,resonance
-0.87586,0.18,1,2.563297e-02,-1.779830e-02,resonance
